"0";"2";"23-OCT-2017 09:38:45";"CC11LIST V0734";"C:\Users\Administrator\Desktop\Ì©ÖÝÍò´ïÏ£¶û¶Ù¾Æµê170217\DCR002C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"902";"2";"2523";"1504";"2496";"63964";"????";"¾Æµê19²ãÌ½²âÆ÷";"1919ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:018:001";"0";"255"
"903";"2";"2497";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1920ÑÌ¸Ð";"A";"0E0F";"-";"LOG";"05:012:019:000";"0";"255"
"904";"2";"2524";"1504";"2497";"63968";"????";"¾Æµê19²ãÌ½²âÆ÷";"1920ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:019:001";"0";"255"
"905";"2";"2498";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1921ÑÌ¸Ð";"A";"0E10";"-";"LOG";"05:012:020:000";"0";"255"
"906";"2";"2525";"1504";"2498";"63969";"????";"¾Æµê19²ãÌ½²âÆ÷";"1921ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:020:001";"0";"255"
"907";"2";"2499";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1922ÑÌ¸Ð";"A";"0E11";"-";"LOG";"05:012:021:000";"0";"255"
"908";"2";"2526";"1504";"2499";"63974";"????";"¾Æµê19²ãÌ½²âÆ÷";"1922ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:021:001";"0";"255"
"909";"2";"2500";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1923ÑÌ¸Ð";"A";"0E12";"-";"LOG";"05:012:022:000";"0";"255"
"910";"2";"2527";"1504";"2500";"63975";"????";"¾Æµê19²ãÌ½²âÆ÷";"1923ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:022:001";"0";"255"
"911";"2";"2501";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1925ÑÌ¸Ð";"A";"0E13";"-";"LOG";"05:012:023:000";"0";"255"
"912";"2";"2528";"1504";"2501";"63976";"????";"¾Æµê19²ãÌ½²âÆ÷";"1925ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:023:001";"0";"255"
"913";"2";"2503";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"Ç¿µç¾®ÑÌ¸Ð";"A";"0E15";"-";"LOG";"05:012:024:000";"0";"255"
"914";"2";"2530";"1504";"2503";"64047";"????";"¾Æµê19²ãÌ½²âÆ÷";"Ç¿µç¾®ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:024:001";"0";"255"
"915";"2";"3739";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"Èõµç¾®ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"146F";"-";"LOG";"05:012:025:000";"0";"255"
"916";"2";"3740";"1504";"3739";"64048";"????";"¾Æµê19²ãÌ½²âÆ÷";"Èõµç¾®ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:025:001";"0";"255"
"917";"2";"2504";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"Èõµç¾®ÑÌ¸Ð";"A";"0E16";"-";"LOG";"05:012:026:000";"0";"255"
"918";"2";"2531";"1504";"2504";"63957";"????";"¾Æµê19²ãÌ½²âÆ÷";"Èõµç¾®ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:026:001";"0";"255"
"919";"2";"3741";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"²¼²Ý¼äÎÂ¸Ð2";"A";"1471";"-";"LOG";"05:012:027:000";"0";"255"
"920";"2";"3742";"1504";"3741";"64031";"????";"¾Æµê19²ãÌ½²âÆ÷";"²¼²Ý¼äÎÂ¸Ð2";"X";"0000";"-";"LOG";"05:012:027:001";"0";"255"
"921";"2";"2505";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"²¼²Ý¼äÎÂ¸Ð1";"A";"0E17";"-";"LOG";"05:012:028:000";"0";"255"
"922";"2";"2532";"1504";"2505";"64032";"????";"¾Æµê19²ãÌ½²âÆ÷";"²¼²Ý¼äÎÂ¸Ð1";"X";"0000";"-";"LOG";"05:012:028:001";"0";"255"
"923";"2";"4331";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"Ïû·ÀµçÌÝÇ°ÊÒÑÌ¸Ð";"A";"1782";"-";"LOG";"05:012:029:000";"0";"255"
"924";"2";"2533";"1504";"4331";"64029";"????";"¾Æµê19²ãÌ½²âÆ÷";"Ïû·ÀµçÌÝÇ°ÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:029:001";"0";"255"
"925";"2";"4332";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1912ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1783";"-";"LOG";"05:012:030:000";"0";"255"
"926";"2";"2534";"1504";"4332";"64014";"????";"¾Æµê19²ãÌ½²âÆ÷";"1912ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:030:001";"0";"255"
"927";"2";"4333";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1908ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1784";"-";"LOG";"05:012:031:000";"0";"255"
"928";"2";"2535";"1504";"4333";"64007";"????";"¾Æµê19²ãÌ½²âÆ÷";"1908ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:031:001";"0";"255"
"929";"2";"4334";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"ÐÐÕþ¾ÆÀÈÃÅ¿Ú×ßµÀÑÌ¸Ð1";"A";"1785";"-";"LOG";"05:012:032:000";"0";"255"
"930";"2";"2536";"1504";"4334";"63988";"????";"¾Æµê19²ãÌ½²âÆ÷";"ÐÐÕþ¾ÆÀÈÃÅ¿Ú×ßµÀÑÌ¸Ð1";"X";"0000";"-";"LOG";"05:012:032:001";"0";"255"
"931";"2";"4335";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"ÐÐÕþ¾ÆÀÈÃÅ¿Ú×ßµÀÑÌ¸Ð2";"A";"1786";"-";"LOG";"05:012:033:000";"0";"255"
"932";"2";"2537";"1504";"4335";"63987";"????";"¾Æµê19²ãÌ½²âÆ÷";"ÐÐÕþ¾ÆÀÈÃÅ¿Ú×ßµÀÑÌ¸Ð2";"X";"0000";"-";"LOG";"05:012:033:001";"0";"255"
"933";"2";"4336";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"µçÌÝÌüÑÌ¸Ð";"A";"1787";"-";"LOG";"05:012:034:000";"0";"255"
"934";"2";"2538";"1504";"4336";"63981";"????";"¾Æµê19²ãÌ½²âÆ÷";"µçÌÝÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:034:001";"0";"255"
"935";"2";"4337";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"ÐÐÕþ¾ÆÀÈÃÅ¿Ú×ßµÀÑÌ¸Ð3";"A";"1788";"-";"LOG";"05:012:035:000";"0";"255"
"936";"2";"2539";"1504";"4337";"63979";"????";"¾Æµê19²ãÌ½²âÆ÷";"ÐÐÕþ¾ÆÀÈÃÅ¿Ú×ßµÀÑÌ¸Ð3";"X";"0000";"-";"LOG";"05:012:035:001";"0";"255"
"937";"2";"4338";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1923ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1789";"-";"LOG";"05:012:036:000";"0";"255"
"938";"2";"2540";"1504";"4338";"63972";"????";"¾Æµê19²ãÌ½²âÆ÷";"1923ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:036:001";"0";"255"
"939";"2";"4339";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1921ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"178A";"-";"LOG";"05:012:037:000";"0";"255"
"940";"2";"2541";"1504";"4339";"63970";"????";"¾Æµê19²ãÌ½²âÆ÷";"1921ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:037:001";"0";"255"
"941";"2";"4340";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1919ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"178B";"-";"LOG";"05:012:038:000";"0";"255"
"942";"2";"2542";"1504";"4340";"63965";"????";"¾Æµê19²ãÌ½²âÆ÷";"1919ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:038:001";"0";"255"
"943";"2";"2506";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"1917ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"0E18";"-";"LOG";"05:012:039:000";"0";"255"
"944";"2";"2543";"1504";"2506";"63963";"????";"¾Æµê19²ãÌ½²âÆ÷";"1917ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:039:001";"0";"255"
"945";"2";"2507";"1601";"2481";"0";"ZONE";"¾Æµê19²ãÌ½²âÆ÷";"Â¥ÌÝÇ°ÊÒÑÌ¸Ð";"A";"0E19";"-";"LOG";"05:012:040:000";"0";"255"
"946";"2";"2544";"1504";"2507";"63971";"????";"¾Æµê19²ãÌ½²âÆ÷";"Â¥ÌÝÇ°ÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:012:040:001";"0";"255"
"947";"2";"2545";"1701";"1";"0";"SECT";"Ï£¶û¶Ù±ê×¼²ãÌ½²â·ÖÇø";"¾Æµê20²ãÌ½²âÆ÷";"A";"0E3F";"-";"LOG";"05:013:000:000";"0";"0"
"948";"2";"2546";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2001ÑÌ¸Ð";"A";"0E40";"-";"LOG";"05:013:001:000";"0";"255"
"949";"2";"2572";"1504";"2546";"64140";"????";"¾Æµê20²ãÌ½²âÆ÷";"2001ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:001:001";"0";"255"
"950";"2";"2547";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2002ÑÌ¸Ð";"A";"0E41";"-";"LOG";"05:013:002:000";"0";"255"
"951";"2";"2573";"1504";"2547";"64139";"????";"¾Æµê20²ãÌ½²âÆ÷";"2002ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:002:001";"0";"255"
"952";"2";"2548";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"²¼²Ý¾®ÑÌ¸Ð";"A";"0E42";"-";"LOG";"05:013:003:000";"0";"255"
"953";"2";"2574";"1504";"2548";"64010";"????";"¾Æµê20²ãÌ½²âÆ÷";"²¼²Ý¾®ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:003:001";"0";"255"
"954";"2";"3733";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2008Ç°ÊÒÑÌ¸Ð";"A";"1469";"-";"LOG";"05:013:004:000";"0";"255"
"955";"2";"3734";"1504";"3733";"64115";"????";"¾Æµê20²ãÌ½²âÆ÷";"2008Ç°ÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:004:001";"0";"255"
"956";"2";"3721";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2008·òÈË·¿Ç°ÊÒÑÌ¸Ð";"A";"145D";"-";"LOG";"05:013:005:000";"0";"255"
"957";"2";"3722";"1504";"3721";"64112";"????";"¾Æµê20²ãÌ½²âÆ÷";"2008·òÈË·¿Ç°ÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:005:001";"0";"255"
"958";"2";"3723";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2008·òÈË·¿ÑÌ¸Ð";"A";"145F";"-";"LOG";"05:013:006:000";"0";"255"
"959";"2";"3724";"1504";"3723";"64111";"????";"¾Æµê20²ãÌ½²âÆ÷";"2008·òÈË·¿ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:006:001";"0";"255"
"960";"2";"3725";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2008²ÍÌüÑÌ¸Ð";"A";"1461";"-";"LOG";"05:013:007:000";"0";"255"
"961";"2";"3726";"1504";"3725";"64116";"????";"¾Æµê20²ãÌ½²âÆ÷";"2008²ÍÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:007:001";"0";"255"
"962";"2";"3727";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2008¿ÍÌüÑÌ¸Ð1";"A";"1463";"-";"LOG";"05:013:008:000";"0";"255"
"963";"2";"3728";"1504";"3727";"64132";"????";"¾Æµê20²ãÌ½²âÆ÷";"2008¿ÍÌüÑÌ¸Ð1";"X";"0000";"-";"LOG";"05:013:008:001";"0";"255"
"964";"2";"3729";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2008¿ÍÌüÑÌ¸Ð2";"A";"1465";"-";"LOG";"05:013:009:000";"0";"255"
"965";"2";"3730";"1504";"3729";"64133";"????";"¾Æµê20²ãÌ½²âÆ÷";"2008¿ÍÌüÑÌ¸Ð2";"X";"0000";"-";"LOG";"05:013:009:001";"0";"255"
"966";"2";"3731";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2008Ö÷ÈË·¿Ç°ÌüÑÌ¸Ð";"A";"1467";"-";"LOG";"05:013:010:000";"0";"255"
"967";"2";"3732";"1504";"3731";"64134";"????";"¾Æµê20²ãÌ½²âÆ÷";"2008Ö÷ÈË·¿Ç°ÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:010:001";"0";"255"
"968";"2";"2549";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2008Ö÷ÈË·¿ÑÌ¸Ð";"A";"0E43";"-";"LOG";"05:013:011:000";"0";"255"
"969";"2";"2575";"1504";"2549";"64135";"????";"¾Æµê20²ãÌ½²âÆ÷";"2008Ö÷ÈË·¿ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:011:001";"0";"255"
"970";"2";"2550";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2010ÑÌ¸Ð";"A";"0E44";"-";"LOG";"05:013:012:000";"0";"255"
"971";"2";"2576";"1504";"2550";"64110";"????";"¾Æµê20²ãÌ½²âÆ÷";"2010ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:012:001";"0";"255"
"972";"2";"2551";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2011ÑÌ¸Ð";"A";"0E45";"-";"LOG";"05:013:013:000";"0";"255"
"973";"2";"2577";"1504";"2551";"64109";"????";"¾Æµê20²ãÌ½²âÆ÷";"2011ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:013:001";"0";"255"
"974";"2";"2552";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2015ÑÌ¸Ð";"A";"0E46";"-";"LOG";"05:013:014:000";"0";"255"
"975";"2";"2578";"1504";"2552";"64178";"????";"¾Æµê20²ãÌ½²âÆ÷";"2015ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:014:001";"0";"255"
"976";"2";"2553";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2012ÑÌ¸Ð";"A";"0E47";"-";"LOG";"05:013:015:000";"0";"255"
"977";"2";"2579";"1504";"2553";"64108";"????";"¾Æµê20²ãÌ½²âÆ÷";"2012ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:015:001";"0";"255"
"978";"2";"3688";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2016ÃÅÌüÑÌ¸Ð";"A";"143C";"-";"LOG";"05:013:016:000";"0";"255"
"979";"2";"3689";"1504";"3688";"64177";"????";"¾Æµê20²ãÌ½²âÆ÷";"2016ÃÅÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:016:001";"0";"255"
"980";"2";"2554";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2016ÎÔÊÒÑÌ¸Ð";"A";"0E48";"-";"LOG";"05:013:017:000";"0";"255"
"981";"2";"2581";"1504";"2554";"64176";"????";"¾Æµê20²ãÌ½²âÆ÷";"2016ÎÔÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:017:001";"0";"255"
"982";"2";"3690";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2018ÎÔÊÒÑÌ¸Ð";"A";"143E";"-";"LOG";"05:013:018:000";"0";"255"
"983";"2";"3691";"1504";"3690";"64174";"????";"¾Æµê20²ãÌ½²âÆ÷";"2018ÎÔÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:018:001";"0";"255"
"984";"2";"2555";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2018¿ÍÌüÑÌ¸Ð";"A";"0E49";"-";"LOG";"05:013:019:000";"0";"255"
"985";"2";"2582";"1504";"2555";"64175";"????";"¾Æµê20²ãÌ½²âÆ÷";"2018¿ÍÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:019:001";"0";"255"
"986";"2";"2556";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2019ÑÌ¸Ð";"A";"0E4A";"-";"LOG";"05:013:020:000";"0";"255"
"987";"2";"2583";"1504";"2556";"64173";"????";"¾Æµê20²ãÌ½²âÆ÷";"2019ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:020:001";"0";"255"
"988";"2";"2557";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2020ÑÌ¸Ð";"A";"0E4B";"-";"LOG";"05:013:021:000";"0";"255"
"989";"2";"2584";"1504";"2557";"64153";"????";"¾Æµê20²ãÌ½²âÆ÷";"2020ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:021:001";"0";"255"
"990";"2";"2558";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2021ÑÌ¸Ð";"A";"0E4C";"-";"LOG";"05:013:022:000";"0";"255"
"991";"2";"2585";"1504";"2558";"64152";"????";"¾Æµê20²ãÌ½²âÆ÷";"2021ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:022:001";"0";"255"
"992";"2";"3705";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2022²ÍÌüÑÌ¸Ð";"A";"144D";"-";"LOG";"05:013:023:000";"0";"255"
"993";"2";"3706";"1504";"3705";"64144";"????";"¾Æµê20²ãÌ½²âÆ÷";"2022²ÍÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:023:001";"0";"255"
"994";"2";"3695";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2022³ø·¿ÑÌ¸Ð";"A";"1443";"-";"LOG";"05:013:024:000";"0";"255"
"995";"2";"3696";"1504";"3695";"64145";"????";"¾Æµê20²ãÌ½²âÆ÷";"2022³ø·¿ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:024:001";"0";"255"
"996";"2";"3697";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2022¿ÍÌüÑÌ¸Ð";"A";"1445";"-";"LOG";"05:013:025:000";"0";"255"
"997";"2";"3698";"1504";"3697";"64146";"????";"¾Æµê20²ãÌ½²âÆ÷";"2022¿ÍÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:025:001";"0";"255"
"998";"2";"2609";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2022ÎÔÊÒÑÌ¸Ð";"A";"0E7F";"-";"LOG";"05:013:026:000";"0";"255"
"999";"2";"3694";"1504";"2609";"64147";"????";"¾Æµê20²ãÌ½²âÆ÷";"2022ÎÔÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:026:001";"0";"255"
"1000";"2";"2559";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2026ÑÌ¸Ð";"A";"0E4D";"-";"LOG";"05:013:027:000";"0";"255"
"1001";"2";"2586";"1504";"2559";"64143";"????";"¾Æµê20²ãÌ½²âÆ÷";"2026ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:027:001";"0";"255"
"1002";"2";"2567";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"Ç¿µç¾®ÑÌ¸Ð";"A";"0E55";"-";"LOG";"05:013:028:000";"0";"255"
"1003";"2";"2594";"1504";"2567";"64068";"????";"¾Æµê20²ãÌ½²âÆ÷";"Ç¿µç¾®ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:028:001";"0";"255"
"1004";"2";"3737";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"Èõµç¾®ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"146D";"-";"LOG";"05:013:029:000";"0";"255"
"1005";"2";"3738";"1504";"3737";"64067";"????";"¾Æµê20²ãÌ½²âÆ÷";"Èõµç¾®ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:029:001";"0";"255"
"1006";"2";"2568";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"Èõµç¾®ÑÌ¸Ð";"A";"0E56";"-";"LOG";"05:013:030:000";"0";"255"
"1007";"2";"2595";"1504";"2568";"64179";"????";"¾Æµê20²ãÌ½²âÆ÷";"Èõµç¾®ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:030:001";"0";"255"
"1008";"2";"3735";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"²¼²Ý¼ä1ÑÌ¸Ð";"A";"146B";"-";"LOG";"05:013:031:000";"0";"255"
"1009";"2";"3736";"1504";"3735";"64083";"????";"¾Æµê20²ãÌ½²âÆ÷";"²¼²Ý¼ä1ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:031:001";"0";"255"
"1010";"2";"2569";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"²¼²Ý¼ä2ÎÂ¸Ð";"A";"0E57";"-";"LOG";"05:013:032:000";"0";"255"
"1011";"2";"2596";"1504";"2569";"64084";"????";"¾Æµê20²ãÌ½²âÆ÷";"²¼²Ý¼ä2ÎÂ¸Ð";"X";"0000";"-";"LOG";"05:013:032:001";"0";"255"
"1012";"2";"4307";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2018ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"176A";"-";"LOG";"05:013:033:000";"0";"255"
"1013";"2";"2597";"1504";"4307";"64171";"????";"¾Æµê20²ãÌ½²âÆ÷";"2018ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:033:001";"0";"255"
"1014";"2";"4308";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2019ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"176B";"-";"LOG";"05:013:034:000";"0";"255"
"1015";"2";"2598";"1504";"4308";"64170";"????";"¾Æµê20²ãÌ½²âÆ÷";"2019ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:034:001";"0";"255"
"1016";"2";"4309";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2021ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"176C";"-";"LOG";"05:013:035:000";"0";"255"
"1017";"2";"2599";"1504";"4309";"64151";"????";"¾Æµê20²ãÌ½²âÆ÷";"2021ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:035:001";"0";"255"
"1018";"2";"4310";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2022ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"176D";"-";"LOG";"05:013:036:000";"0";"255"
"1019";"2";"2600";"1504";"4310";"64149";"????";"¾Æµê20²ãÌ½²âÆ÷";"2022ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:036:001";"0";"255"
"1020";"2";"4311";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2026ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"176E";"-";"LOG";"05:013:037:000";"0";"255"
"1021";"2";"2601";"1504";"4311";"64142";"????";"¾Æµê20²ãÌ½²âÆ÷";"2026ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:037:001";"0";"255"
"1022";"2";"4312";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"µçÌÝÌüÑÌ¸Ð";"A";"176F";"-";"LOG";"05:013:038:000";"0";"255"
"1023";"2";"2602";"1504";"4312";"64141";"????";"¾Æµê20²ãÌ½²âÆ÷";"µçÌÝÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:038:001";"0";"255"
"1024";"2";"4313";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2008ÃÅ¿Ú×ßµÀÑÌ¸Ð2";"A";"1770";"-";"LOG";"05:013:039:000";"0";"255"
"1025";"2";"2603";"1504";"4313";"64138";"????";"¾Æµê20²ãÌ½²âÆ÷";"2008ÃÅ¿Ú×ßµÀÑÌ¸Ð2";"X";"0000";"-";"LOG";"05:013:039:001";"0";"255"
"1026";"2";"4314";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2002ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1771";"-";"LOG";"05:013:040:000";"0";"255"
"1027";"2";"2604";"1504";"4314";"64136";"????";"¾Æµê20²ãÌ½²âÆ÷";"2002ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:040:001";"0";"255"
"1028";"2";"4315";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2008ÃÅ¿Ú×ßµÀÑÌ¸Ð1";"A";"1772";"-";"LOG";"05:013:041:000";"0";"255"
"1029";"2";"2605";"1504";"4315";"64114";"????";"¾Æµê20²ãÌ½²âÆ÷";"2008ÃÅ¿Ú×ßµÀÑÌ¸Ð1";"X";"0000";"-";"LOG";"05:013:041:001";"0";"255"
"1030";"2";"4295";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"2012ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"175E";"-";"LOG";"05:013:042:000";"0";"255"
"1031";"2";"2606";"1504";"4295";"64107";"????";"¾Æµê20²ãÌ½²âÆ÷";"2012ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:013:042:001";"0";"255"
"1032";"2";"2570";"1601";"2545";"0";"ZONE";"¾Æµê20²ãÌ½²âÆ÷";"Ïû·ÀµçÌÝÇ°ÊÒÑÌ¸Ð";"A";"0E58";"-";"LOG";"05:013:043:000";"0";"255"
