"0";"2";"23-OCT-2017 09:38:45";"CC11LIST V0734";"C:\Users\Administrator\Desktop\Ì©ÖÝÍò´ïÏ£¶û¶Ù¾Æµê170217\DCR002C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"33";"2";"1585";"1504";"4229";"65155";"????";"¾Æµê6²ãÌ½²âÆ÷";"618¿ÍÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:013:001";"0";"255"
"34";"2";"4230";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"618ÎÔÊÒÑÌ¸Ð";"A";"171D";"-";"LOG";"05:001:014:000";"0";"255"
"35";"2";"1587";"1504";"4230";"65156";"????";"¾Æµê6²ãÌ½²âÆ÷";"618ÎÔÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:014:001";"0";"255"
"36";"2";"571";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"618²ÍÌüÑÌ¸Ð";"A";"03BE";"-";"LOG";"05:001:015:000";"0";"255"
"37";"2";"3501";"1504";"571";"65154";"????";"¾Æµê6²ãÌ½²âÆ÷";"618²ÍÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:015:001";"0";"255"
"38";"2";"572";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"619ÑÌ¸Ð";"A";"03BF";"-";"LOG";"05:001:016:000";"0";"255"
"39";"2";"747";"1504";"572";"65157";"????";"¾Æµê6²ãÌ½²âÆ÷";"619ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:016:001";"0";"255"
"40";"2";"573";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"620ÑÌ¸Ð";"A";"0401";"-";"LOG";"05:001:017:000";"0";"255"
"41";"2";"746";"1504";"573";"64905";"????";"¾Æµê6²ãÌ½²âÆ÷";"620ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:017:001";"0";"255"
"42";"2";"574";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"621ÑÌ¸Ð";"A";"0402";"-";"LOG";"05:001:018:000";"0";"255"
"43";"2";"745";"1504";"574";"65177";"????";"¾Æµê6²ãÌ½²âÆ÷";"621ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:018:001";"0";"255"
"44";"2";"575";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"622ÑÌ¸Ð";"A";"0403";"-";"LOG";"05:001:019:000";"0";"255"
"45";"2";"744";"1504";"575";"64906";"????";"¾Æµê6²ãÌ½²âÆ÷";"622ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:019:001";"0";"255"
"46";"2";"576";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"623ÑÌ¸Ð";"A";"0404";"-";"LOG";"05:001:020:000";"0";"255"
"47";"2";"743";"1504";"576";"65183";"????";"¾Æµê6²ãÌ½²âÆ÷";"623ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:020:001";"0";"255"
"48";"2";"577";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"625ÑÌ¸Ð";"A";"0405";"-";"LOG";"05:001:021:000";"0";"255"
"49";"2";"742";"1504";"577";"65184";"????";"¾Æµê6²ãÌ½²âÆ÷";"625ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:021:001";"0";"255"
"50";"2";"578";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"626ÑÌ¸Ð";"A";"0406";"-";"LOG";"05:001:022:000";"0";"255"
"51";"2";"741";"1504";"578";"65186";"????";"¾Æµê6²ãÌ½²âÆ÷";"626ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:022:001";"0";"255"
"52";"2";"579";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"Èõµç¾®ÑÌ¸Ð";"A";"0407";"-";"LOG";"05:001:023:000";"0";"255"
"53";"2";"740";"1504";"579";"65260";"????";"¾Æµê6²ãÌ½²âÆ÷";"Èõµç¾®ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:023:001";"0";"255"
"54";"2";"3470";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"Èõµç¾®ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1321";"-";"LOG";"05:001:024:000";"0";"255"
"55";"2";"3471";"1504";"3470";"65261";"????";"¾Æµê6²ãÌ½²âÆ÷";"Èõµç¾®ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:024:001";"0";"255"
"56";"2";"3472";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"Ç¿µç¾®ÑÌ¸Ð";"A";"1323";"-";"LOG";"05:001:025:000";"0";"255"
"57";"2";"3473";"1504";"3472";"64888";"????";"¾Æµê6²ãÌ½²âÆ÷";"Ç¿µç¾®ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:025:001";"0";"255"
"58";"2";"3474";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"²¼²Ý¼ä1ÎÂ¸Ð";"A";"1325";"-";"LOG";"05:001:026:000";"0";"255"
"59";"2";"3476";"1504";"3474";"65245";"????";"¾Æµê6²ãÌ½²âÆ÷";"²¼²Ý¼ä1ÎÂ¸Ð";"X";"0000";"-";"LOG";"05:001:026:001";"0";"255"
"60";"2";"3475";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"²¼²Ý¼ä2ÎÂ¸Ð";"A";"1326";"-";"LOG";"05:001:027:000";"0";"255"
"61";"2";"3477";"1504";"3475";"65244";"????";"¾Æµê6²ãÌ½²âÆ÷";"²¼²Ý¼ä2ÎÂ¸Ð";"X";"0000";"-";"LOG";"05:001:027:001";"0";"255"
"62";"2";"4244";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"Ïû·ÀµçÌÝÇ°ÊÒÑÌ¸Ð";"A";"172B";"-";"LOG";"05:001:028:000";"0";"255"
"63";"2";"3481";"1504";"4244";"65237";"????";"¾Æµê6²ãÌ½²âÆ÷";"Ïû·ÀµçÌÝÇ°ÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:028:001";"0";"255"
"64";"2";"4245";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"612ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"172C";"-";"LOG";"05:001:029:000";"0";"255"
"65";"2";"3482";"1504";"4245";"65221";"????";"¾Æµê6²ãÌ½²âÆ÷";"612ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:029:001";"0";"255"
"66";"2";"4246";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"608ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"172D";"-";"LOG";"05:001:030:000";"0";"255"
"67";"2";"3483";"1504";"4246";"65213";"????";"¾Æµê6²ãÌ½²âÆ÷";"608ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:030:001";"0";"255"
"68";"2";"4247";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"606ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"172E";"-";"LOG";"05:001:031:000";"0";"255"
"69";"2";"3484";"1504";"4247";"65197";"????";"¾Æµê6²ãÌ½²âÆ÷";"606ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:031:001";"0";"255"
"70";"2";"4248";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"603ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"172F";"-";"LOG";"05:001:032:000";"0";"255"
"71";"2";"3485";"1504";"4248";"64916";"????";"¾Æµê6²ãÌ½²âÆ÷";"603ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:032:001";"0";"255"
"72";"2";"4249";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"¿ÍÌÝÌüÑÌ¸Ð";"A";"1730";"-";"LOG";"05:001:033:000";"0";"255"
"73";"2";"3486";"1504";"4249";"65188";"????";"¾Æµê6²ãÌ½²âÆ÷";"¿ÍÌÝÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:033:001";"0";"255"
"74";"2";"4250";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"626ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1731";"-";"LOG";"05:001:034:000";"0";"255"
"75";"2";"3487";"1504";"4250";"65185";"????";"¾Æµê6²ãÌ½²âÆ÷";"626ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:001:034:001";"0";"255"
"76";"2";"4251";"1601";"470";"0";"ZONE";"¾Æµê6²ãÌ½²âÆ÷";"623ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1732";"-";"LOG";"05:001:035:000";"0";"255"
