"0";"2";"23-OCT-2017 09:38:32";"CC11LIST V0734";"C:\Users\Administrator\Desktop\泰州万达希尔顿酒店170217\DCR001C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"976";"2";"5703";"1504";"5702";"64055";"????";"酒店二层探测器";"烟感49560AE";"X";"0000";"-";"LOG";"01:004:119:001";"0";"255"
"977";"2";"472";"1701";"1";"0";"SECT";"希尔顿裙楼探测分区";"酒店三层探测器";"A";"035B";"-";"LOG";"01:005:000:000";"0";"0"
"978";"2";"1109";"1601";"472";"0";"ZONE";"酒店三层探测器";"西南弱电井烟感";"A";"069B";"-";"LOG";"01:005:001:000";"0";"255"
"979";"2";"1312";"1504";"1109";"59737";"????";"酒店三层探测器";"西南弱电井烟感";"X";"0000";"-";"LOG";"01:005:001:001";"0";"255"
"980";"2";"1112";"1601";"472";"0";"ZONE";"酒店三层探测器";"大会议室南走道烟感";"A";"069E";"-";"LOG";"01:005:002:000";"0";"255"
"981";"2";"1309";"1504";"1112";"59715";"????";"酒店三层探测器";"大会议室南走道烟感";"X";"0000";"-";"LOG";"01:005:002:001";"0";"255"
"982";"2";"1118";"1601";"472";"0";"ZONE";"酒店三层探测器";"西北货梯井烟感2";"A";"06A4";"-";"LOG";"01:005:003:000";"0";"255"
"983";"2";"1303";"1504";"1118";"59709";"????";"酒店三层探测器";"西北货梯井烟感2";"X";"0000";"-";"LOG";"01:005:003:001";"0";"255"
"984";"2";"1119";"1601";"472";"0";"ZONE";"酒店三层探测器";"西北楼梯前室烟感";"A";"06A5";"-";"LOG";"01:005:004:000";"0";"255"
"985";"2";"1302";"1504";"1119";"59708";"????";"酒店三层探测器";"西北楼梯前室烟感";"X";"0000";"-";"LOG";"01:005:004:001";"0";"255"
"986";"2";"3432";"1601";"472";"0";"ZONE";"酒店三层探测器";"夹层循环泵房北烟感";"A";"12BA";"-";"LOG";"01:005:005:000";"0";"255"
"987";"2";"3433";"1504";"3432";"59704";"????";"酒店三层探测器";"夹层循环泵房北烟感";"X";"0000";"-";"LOG";"01:005:005:001";"0";"255"
"988";"2";"1120";"1601";"472";"0";"ZONE";"酒店三层探测器";"夹层循环泵房南烟感";"A";"06A6";"-";"LOG";"01:005:006:000";"0";"255"
"989";"2";"1301";"1504";"1120";"59705";"????";"酒店三层探测器";"夹层循环泵房南烟感";"X";"0000";"-";"LOG";"01:005:006:001";"0";"255"
"990";"2";"1121";"1601";"472";"0";"ZONE";"酒店三层探测器";"夹层AHU机房东烟感";"A";"06A7";"-";"LOG";"01:005:007:000";"0";"255"
"991";"2";"1300";"1504";"1121";"59698";"????";"酒店三层探测器";"夹层AHU机房东烟感";"X";"0000";"-";"LOG";"01:005:007:001";"0";"255"
"992";"2";"1122";"1601";"472";"0";"ZONE";"酒店三层探测器";"夹层AHU机房西烟感";"A";"06A8";"-";"LOG";"01:005:008:000";"0";"255"
"993";"2";"1299";"1504";"1122";"59697";"????";"酒店三层探测器";"夹层AHU机房西烟感";"X";"0000";"-";"LOG";"01:005:008:001";"0";"255"
"994";"2";"1123";"1601";"472";"0";"ZONE";"酒店三层探测器";"夹层AHU机房门口烟感";"A";"06A9";"-";"LOG";"01:005:009:000";"0";"255"
"995";"2";"1298";"1504";"1123";"59696";"????";"酒店三层探测器";"夹层AHU机房门口烟感";"X";"0000";"-";"LOG";"01:005:009:001";"0";"255"
"996";"2";"1124";"1601";"472";"0";"ZONE";"酒店三层探测器";"夹层西北楼梯前室烟感";"A";"06AA";"-";"LOG";"01:005:010:000";"0";"255"
"997";"2";"1297";"1504";"1124";"59693";"????";"酒店三层探测器";"夹层西北楼梯前室烟感";"X";"0000";"-";"LOG";"01:005:010:001";"0";"255"
"998";"2";"1125";"1601";"472";"0";"ZONE";"酒店三层探测器";"西北会议室北烟感";"A";"06AB";"-";"LOG";"01:005:011:000";"0";"255"
"999";"2";"1296";"1504";"1125";"59692";"????";"酒店三层探测器";"西北会议室北烟感";"X";"0000";"-";"LOG";"01:005:011:001";"0";"255"
"1000";"2";"1126";"1601";"472";"0";"ZONE";"酒店三层探测器";"西北会议室南烟感";"A";"06AC";"-";"LOG";"01:005:012:000";"0";"255"
"1001";"2";"1295";"1504";"1126";"59691";"????";"酒店三层探测器";"西北会议室南烟感";"X";"0000";"-";"LOG";"01:005:012:001";"0";"255"
"1002";"2";"1128";"1601";"472";"0";"ZONE";"酒店三层探测器";"西南会议室北烟感";"A";"06AE";"-";"LOG";"01:005:013:000";"0";"255"
"1003";"2";"1293";"1504";"1128";"59645";"????";"酒店三层探测器";"西南会议室北烟感";"X";"0000";"-";"LOG";"01:005:013:001";"0";"255"
"1004";"2";"1129";"1601";"472";"0";"ZONE";"酒店三层探测器";"西南会议室南烟感";"A";"06AF";"-";"LOG";"01:005:014:000";"0";"255"
"1005";"2";"1292";"1504";"1129";"59644";"????";"酒店三层探测器";"西南会议室南烟感";"X";"0000";"-";"LOG";"01:005:014:001";"0";"255"
"1006";"2";"1132";"1601";"472";"0";"ZONE";"酒店三层探测器";"卫生间东走道烟感";"A";"06B2";"-";"LOG";"01:005:015:000";"0";"255"
"1007";"2";"1289";"1504";"1132";"59643";"????";"酒店三层探测器";"卫生间东走道烟感";"X";"0000";"-";"LOG";"01:005:015:001";"0";"255"
"1008";"2";"1135";"1601";"472";"0";"ZONE";"酒店三层探测器";"消防电梯前室烟感";"A";"06B5";"-";"LOG";"01:005:016:000";"0";"255"
"1009";"2";"1286";"1504";"1135";"59620";"????";"酒店三层探测器";"消防电梯前室烟感";"X";"0000";"-";"LOG";"01:005:016:001";"0";"255"
"1010";"2";"1136";"1601";"472";"0";"ZONE";"酒店三层探测器";"弱电井门口走道烟感";"A";"06B6";"-";"LOG";"01:005:017:000";"0";"255"
"1011";"2";"1285";"1504";"1136";"59738";"????";"酒店三层探测器";"弱电井门口走道烟感";"X";"0000";"-";"LOG";"01:005:017:001";"0";"255"
"1012";"2";"1137";"1601";"472";"0";"ZONE";"酒店三层探测器";"丁类库房烟感";"A";"06B7";"-";"LOG";"01:005:018:000";"0";"255"
"1013";"2";"1284";"1504";"1137";"59721";"????";"酒店三层探测器";"丁类库房烟感";"X";"0000";"-";"LOG";"01:005:018:001";"0";"255"
"1014";"2";"1138";"1601";"472";"0";"ZONE";"酒店三层探测器";"强电井烟感";"A";"06B8";"-";"LOG";"01:005:019:000";"0";"255"
"1015";"2";"1283";"1504";"1138";"59722";"????";"酒店三层探测器";"强电井烟感";"X";"0000";"-";"LOG";"01:005:019:001";"0";"255"
"1016";"2";"3449";"1601";"472";"0";"ZONE";"酒店三层探测器";"西走道卷帘门南烟感";"A";"130C";"-";"LOG";"01:005:020:000";"0";"255"
"1017";"2";"3450";"1504";"3449";"63561";"????";"酒店三层探测器";"西走道卷帘门南烟感";"X";"0000";"-";"LOG";"01:005:020:001";"0";"255"
"1018";"2";"1139";"1601";"472";"0";"ZONE";"酒店三层探测器";"西走道卷帘门南温感";"A";"06B9";"-";"LOG";"01:005:021:000";"0";"255"
"1019";"2";"1282";"1504";"1139";"63562";"????";"酒店三层探测器";"西走道卷帘门南温感";"X";"0000";"-";"LOG";"01:005:021:001";"0";"255"
"1020";"2";"1142";"1601";"472";"0";"ZONE";"酒店三层探测器";"新娘房西走道烟感";"A";"06BC";"-";"LOG";"01:005:022:000";"0";"255"
"1021";"2";"1279";"1504";"1142";"63362";"????";"酒店三层探测器";"新娘房西走道烟感";"X";"0000";"-";"LOG";"01:005:022:001";"0";"255"
"1022";"2";"1143";"1601";"472";"0";"ZONE";"酒店三层探测器";"新娘房西南走道烟感";"A";"06BD";"-";"LOG";"01:005:023:000";"0";"255"
"1023";"2";"1278";"1504";"1143";"63363";"????";"酒店三层探测器";"新娘房西南走道烟感";"X";"0000";"-";"LOG";"01:005:023:001";"0";"255"
"1024";"2";"1144";"1601";"472";"0";"ZONE";"酒店三层探测器";"干货库烟感";"A";"06BE";"-";"LOG";"01:005:024:000";"0";"255"
"1025";"2";"1277";"1504";"1144";"63434";"????";"酒店三层探测器";"干货库烟感";"X";"0000";"-";"LOG";"01:005:024:001";"0";"255"
"1026";"2";"1145";"1601";"472";"0";"ZONE";"酒店三层探测器";"洗锅间温感";"A";"06BF";"-";"LOG";"01:005:025:000";"0";"255"
"1027";"2";"1276";"1504";"1145";"63382";"????";"酒店三层探测器";"洗锅间温感";"X";"0000";"-";"LOG";"01:005:025:001";"0";"255"
"1028";"2";"1153";"1601";"472";"0";"ZONE";"酒店三层探测器";"补风机房烟感";"A";"0708";"-";"LOG";"01:005:026:000";"0";"255"
"1029";"2";"1268";"1504";"1153";"63505";"????";"酒店三层探测器";"补风机房烟感";"X";"0000";"-";"LOG";"01:005:026:001";"0";"255"
"1030";"2";"1154";"1601";"472";"0";"ZONE";"酒店三层探测器";"东北货梯前室烟感";"A";"0709";"-";"LOG";"01:005:027:000";"0";"255"
"1031";"2";"1267";"1504";"1154";"63436";"????";"酒店三层探测器";"东北货梯前室烟感";"X";"0000";"-";"LOG";"01:005:027:001";"0";"255"
"1032";"2";"1155";"1601";"472";"0";"ZONE";"酒店三层探测器";"东北强电井烟感";"A";"070A";"-";"LOG";"01:005:028:000";"0";"255"
"1033";"2";"1266";"1504";"1155";"63503";"????";"酒店三层探测器";"东北强电井烟感";"X";"0000";"-";"LOG";"01:005:028:001";"0";"255"
"1034";"2";"1156";"1601";"472";"0";"ZONE";"酒店三层探测器";"东北弱电井烟感";"A";"070B";"-";"LOG";"01:005:029:000";"0";"255"
"1035";"2";"1265";"1504";"1156";"63504";"????";"酒店三层探测器";"东北弱电井烟感";"X";"0000";"-";"LOG";"01:005:029:001";"0";"255"
"1036";"2";"1157";"1601";"472";"0";"ZONE";"酒店三层探测器";"西南楼梯前室烟感";"A";"070C";"-";"LOG";"01:005:030:000";"0";"255"
"1037";"2";"1264";"1504";"1157";"63343";"????";"酒店三层探测器";"西南楼梯前室烟感";"X";"0000";"-";"LOG";"01:005:030:001";"0";"255"
"1038";"2";"1158";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会厅后勤通道烟感1";"A";"070D";"-";"LOG";"01:005:031:000";"0";"255"
"1039";"2";"1263";"1504";"1158";"63499";"????";"酒店三层探测器";"宴会厅后勤通道烟感1";"X";"0000";"-";"LOG";"01:005:031:001";"0";"255"
"1040";"2";"1163";"1601";"472";"0";"ZONE";"酒店三层探测器";"东南楼梯前室烟感";"A";"0712";"-";"LOG";"01:005:032:000";"0";"255"
"1041";"2";"1258";"1504";"1163";"63479";"????";"酒店三层探测器";"东南楼梯前室烟感";"X";"0000";"-";"LOG";"01:005:032:001";"0";"255"
"1042";"2";"1164";"1601";"472";"0";"ZONE";"酒店三层探测器";"东南楼梯前室烟感";"A";"0713";"-";"LOG";"01:005:033:000";"0";"255"
"1043";"2";"1257";"1504";"1164";"63480";"????";"酒店三层探测器";"东南楼梯前室烟感";"X";"0000";"-";"LOG";"01:005:033:001";"0";"255"
"1044";"2";"1165";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会厅中设备间烟感";"A";"0714";"-";"LOG";"01:005:034:000";"0";"255"
"1045";"2";"1256";"1504";"1165";"63483";"????";"酒店三层探测器";"宴会厅中设备间烟感";"X";"0000";"-";"LOG";"01:005:034:001";"0";"255"
"1046";"2";"3467";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会厅南设备间烟感";"A";"131E";"-";"LOG";"01:005:035:000";"0";"255"
"1047";"2";"3468";"1504";"3467";"63475";"????";"酒店三层探测器";"宴会厅南设备间烟感";"X";"0000";"-";"LOG";"01:005:035:001";"0";"255"
"1048";"2";"1166";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会厅北设备间烟感";"A";"0715";"-";"LOG";"01:005:036:000";"0";"255"
"1049";"2";"1255";"1504";"1166";"63501";"????";"酒店三层探测器";"宴会厅北设备间烟感";"X";"0000";"-";"LOG";"01:005:036:001";"0";"255"
"1050";"2";"1167";"1601";"472";"0";"ZONE";"酒店三层探测器";"东货梯前室南走道烟感";"A";"0716";"-";"LOG";"01:005:037:000";"0";"255"
"1051";"2";"1254";"1504";"1167";"63502";"????";"酒店三层探测器";"东货梯前室南走道烟感";"X";"0000";"-";"LOG";"01:005:037:001";"0";"255"
"1052";"2";"1175";"1601";"472";"0";"ZONE";"酒店三层探测器";"新娘房烟感";"A";"071E";"-";"LOG";"01:005:038:000";"0";"255"
"1053";"2";"1246";"1504";"1175";"63508";"????";"酒店三层探测器";"新娘房烟感";"X";"0000";"-";"LOG";"01:005:038:001";"0";"255"
"1054";"2";"3481";"1601";"472";"0";"ZONE";"酒店三层探测器";"衣帽间烟感";"A";"132C";"-";"LOG";"01:005:039:000";"0";"255"
"1055";"2";"3482";"1504";"3481";"63346";"????";"酒店三层探测器";"衣帽间烟感";"X";"0000";"-";"LOG";"01:005:039:001";"0";"255"
"1056";"2";"1185";"1601";"472";"0";"ZONE";"酒店三层探测器";"衣帽间前室烟感";"A";"0728";"-";"LOG";"01:005:040:000";"0";"255"
"1057";"2";"1236";"1504";"1185";"63349";"????";"酒店三层探测器";"衣帽间前室烟感";"X";"0000";"-";"LOG";"01:005:040:001";"0";"255"
"1058";"2";"1188";"1601";"472";"0";"ZONE";"酒店三层探测器";"商务中心东烟感";"A";"072B";"-";"LOG";"01:005:041:000";"0";"255"
"1059";"2";"1233";"1504";"1188";"63348";"????";"酒店三层探测器";"商务中心东烟感";"X";"0000";"-";"LOG";"01:005:041:001";"0";"255"
"1060";"2";"1189";"1601";"472";"0";"ZONE";"酒店三层探测器";"商务中心东烟感";"A";"072C";"-";"LOG";"01:005:042:000";"0";"255"
"1061";"2";"1232";"1504";"1189";"63347";"????";"酒店三层探测器";"商务中心东烟感";"X";"0000";"-";"LOG";"01:005:042:001";"0";"255"
"1062";"2";"1190";"1601";"472";"0";"ZONE";"酒店三层探测器";"核心筒东北楼梯前室烟感";"A";"072D";"-";"LOG";"01:005:043:000";"0";"255"
"1063";"2";"1231";"1504";"1190";"63513";"????";"酒店三层探测器";"核心筒东北楼梯前室烟感";"X";"0000";"-";"LOG";"01:005:043:001";"0";"255"
"1064";"2";"1191";"1601";"472";"0";"ZONE";"酒店三层探测器";"防火门边烟感";"A";"072E";"-";"LOG";"01:005:044:000";"0";"255"
"1065";"2";"1230";"1504";"1191";"0";"????";"酒店三层探测器";"防火门边烟感";"X";"0000";"-";"LOG";"01:005:044:001";"0";"255"
"1066";"2";"1192";"1601";"472";"0";"ZONE";"酒店三层探测器";"东北楼梯前室烟感";"A";"072F";"-";"LOG";"01:005:045:000";"0";"255"
"1067";"2";"1229";"1504";"1192";"63458";"????";"酒店三层探测器";"东北楼梯前室烟感";"X";"0000";"-";"LOG";"01:005:045:001";"0";"255"
"1068";"2";"4791";"1601";"472";"0";"ZONE";"酒店三层探测器";"新娘房卫生间前室烟感";"A";"1A11";"-";"LOG";"01:005:046:000";"0";"255"
"1069";"2";"4792";"1504";"4791";"62051";"????";"酒店三层探测器";"新娘房卫生间前室烟感";"X";"0000";"-";"LOG";"01:005:046:001";"0";"255"
"1070";"2";"4793";"1601";"472";"0";"ZONE";"酒店三层探测器";"衣帽间隔间烟感";"A";"1A13";"-";"LOG";"01:005:047:000";"0";"255"
"1071";"2";"4794";"1504";"4793";"62050";"????";"酒店三层探测器";"衣帽间隔间烟感";"X";"0000";"-";"LOG";"01:005:047:001";"0";"255"
"1072";"2";"1140";"1601";"472";"0";"ZONE";"酒店三层探测器";"贵宾室E~G轴烟感";"A";"06BA";"-";"LOG";"01:005:048:000";"0";"255"
"1073";"2";"1281";"1504";"1140";"63511";"????";"酒店三层探测器";"贵宾室E~G轴烟感";"X";"0000";"-";"LOG";"01:005:048:001";"0";"255"
"1074";"2";"1141";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会前厅G~J轴西烟感";"A";"06BB";"-";"LOG";"01:005:049:000";"0";"255"
"1075";"2";"1280";"1504";"1141";"63509";"????";"酒店三层探测器";"宴会前厅G~J轴西烟感";"X";"0000";"-";"LOG";"01:005:049:001";"0";"255"
"1076";"2";"4973";"1601";"472";"0";"ZONE";"酒店三层探测器";"西北货梯井烟感1";"A";"1B08";"-";"LOG";"01:005:050:000";"0";"255"
"1077";"2";"4974";"1504";"4973";"0";"????";"酒店三层探测器";"西北货梯井烟感1";"X";"0000";"-";"LOG";"01:005:050:001";"0";"255"
"1078";"2";"1133";"1601";"472";"0";"ZONE";"酒店三层探测器";"西走道卷帘门北温感";"A";"06B3";"-";"LOG";"01:005:051:000";"0";"255"
"1079";"2";"1288";"1504";"1133";"59637";"????";"酒店三层探测器";"西走道卷帘门北温感";"X";"0000";"-";"LOG";"01:005:051:001";"0";"255"
"1080";"2";"1134";"1601";"472";"0";"ZONE";"酒店三层探测器";"西走道卷帘门北烟感";"A";"06B4";"-";"LOG";"01:005:052:000";"0";"255"
"1081";"2";"1287";"1504";"1134";"59636";"????";"酒店三层探测器";"西走道卷帘门北烟感";"X";"0000";"-";"LOG";"01:005:052:001";"0";"255"
"1082";"2";"1117";"1601";"472";"0";"ZONE";"酒店三层探测器";"货梯前室南走道烟感";"A";"06A3";"-";"LOG";"01:005:053:000";"0";"255"
"1083";"2";"1304";"1504";"1117";"59707";"????";"酒店三层探测器";"货梯前室南走道烟感";"X";"0000";"-";"LOG";"01:005:053:001";"0";"255"
"1084";"2";"1127";"1601";"472";"0";"ZONE";"酒店三层探测器";"西北会议室门口烟感";"A";"06AD";"-";"LOG";"01:005:054:000";"0";"255"
"1085";"2";"1294";"1504";"1127";"59690";"????";"酒店三层探测器";"西北会议室门口烟感";"X";"0000";"-";"LOG";"01:005:054:001";"0";"255"
"1086";"2";"1130";"1601";"472";"0";"ZONE";"酒店三层探测器";"西南会议室门口烟感";"A";"06B0";"-";"LOG";"01:005:055:000";"0";"255"
"1087";"2";"1291";"1504";"1130";"59646";"????";"酒店三层探测器";"西南会议室门口烟感";"X";"0000";"-";"LOG";"01:005:055:001";"0";"255"
"1088";"2";"5496";"1601";"472";"0";"ZONE";"酒店三层探测器";"男卫生间烟感";"A";"1D95";"-";"LOG";"01:005:056:000";"0";"255"
"1089";"2";"5497";"1504";"5496";"59641";"????";"酒店三层探测器";"男卫生间烟感";"X";"0000";"-";"LOG";"01:005:056:001";"0";"255"
"1090";"2";"5494";"1601";"472";"0";"ZONE";"酒店三层探测器";"女卫生间烟感";"A";"1D93";"-";"LOG";"01:005:057:000";"0";"255"
"1091";"2";"5495";"1504";"5494";"59639";"????";"酒店三层探测器";"女卫生间烟感";"X";"0000";"-";"LOG";"01:005:057:001";"0";"255"
"1092";"2";"1131";"1601";"472";"0";"ZONE";"酒店三层探测器";"卫生间门口烟感";"A";"06B1";"-";"LOG";"01:005:058:000";"0";"255"
"1093";"2";"1290";"1504";"1131";"59640";"????";"酒店三层探测器";"卫生间门口烟感";"X";"0000";"-";"LOG";"01:005:058:001";"0";"255"
"1094";"2";"1114";"1601";"472";"0";"ZONE";"酒店三层探测器";"大会议室西北烟感";"A";"06A0";"-";"LOG";"01:005:059:000";"0";"255"
"1095";"2";"1307";"1504";"1114";"59710";"????";"酒店三层探测器";"大会议室西北烟感";"X";"0000";"-";"LOG";"01:005:059:001";"0";"255"
"1096";"2";"1115";"1601";"472";"0";"ZONE";"酒店三层探测器";"大会议室东北烟感";"A";"06A1";"-";"LOG";"01:005:060:000";"0";"255"
"1097";"2";"1306";"1504";"1115";"59711";"????";"酒店三层探测器";"大会议室东北烟感";"X";"0000";"-";"LOG";"01:005:060:001";"0";"255"
"1098";"2";"1116";"1601";"472";"0";"ZONE";"酒店三层探测器";"大会议室东南烟感";"A";"06A2";"-";"LOG";"01:005:061:000";"0";"255"
"1099";"2";"1305";"1504";"1116";"59712";"????";"酒店三层探测器";"大会议室东南烟感";"X";"0000";"-";"LOG";"01:005:061:001";"0";"255"
"1100";"2";"1113";"1601";"472";"0";"ZONE";"酒店三层探测器";"大会议室西南烟感";"A";"069F";"-";"LOG";"01:005:062:000";"0";"255"
"1101";"2";"1308";"1504";"1113";"59713";"????";"酒店三层探测器";"大会议室西南烟感";"X";"0000";"-";"LOG";"01:005:062:001";"0";"255"
"1102";"2";"1111";"1601";"472";"0";"ZONE";"酒店三层探测器";"贵宾室烟感1";"A";"069D";"-";"LOG";"01:005:063:000";"0";"255"
"1103";"2";"1310";"1504";"1111";"59716";"????";"酒店三层探测器";"贵宾室烟感1";"X";"0000";"-";"LOG";"01:005:063:001";"0";"255"
"1104";"2";"1110";"1601";"472";"0";"ZONE";"酒店三层探测器";"贵宾室烟感2";"A";"069C";"-";"LOG";"01:005:064:000";"0";"255"
"1105";"2";"1311";"1504";"1110";"59717";"????";"酒店三层探测器";"贵宾室烟感2";"X";"0000";"-";"LOG";"01:005:064:001";"0";"255"
"1106";"2";"4773";"1601";"472";"0";"ZONE";"酒店三层探测器";"贵宾室烟感3";"A";"19BE";"-";"LOG";"01:005:065:000";"0";"255"
"1107";"2";"4774";"1504";"4773";"59718";"????";"酒店三层探测器";"贵宾室烟感3";"X";"0000";"-";"LOG";"01:005:065:001";"0";"255"
"1108";"2";"4775";"1601";"472";"0";"ZONE";"酒店三层探测器";"贵宾室烟感4";"A";"1A01";"-";"LOG";"01:005:066:000";"0";"255"
"1109";"2";"4776";"1504";"4775";"59719";"????";"酒店三层探测器";"贵宾室烟感4";"X";"0000";"-";"LOG";"01:005:066:001";"0";"255"
"1110";"2";"4777";"1601";"472";"0";"ZONE";"酒店三层探测器";"贵宾室烟感5";"A";"1A03";"-";"LOG";"01:005:067:000";"0";"255"
"1111";"2";"4778";"1504";"4777";"59720";"????";"酒店三层探测器";"贵宾室烟感5";"X";"0000";"-";"LOG";"01:005:067:001";"0";"255"
"1112";"2";"1176";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会前厅C~D轴烟感";"A";"071F";"-";"LOG";"01:005:068:000";"0";"255"
"1113";"2";"1245";"1504";"1176";"63515";"????";"酒店三层探测器";"宴会前厅C~D轴烟感";"X";"0000";"-";"LOG";"01:005:068:001";"0";"255"
"1114";"2";"1177";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会前厅G轴烟感";"A";"0720";"-";"LOG";"01:005:069:000";"0";"255"
"1115";"2";"1244";"1504";"1177";"63361";"????";"酒店三层探测器";"宴会前厅G轴烟感";"X";"0000";"-";"LOG";"01:005:069:001";"0";"255"
"1116";"2";"1178";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会前厅G~J轴东烟感";"A";"0721";"-";"LOG";"01:005:070:000";"0";"255"
"1117";"2";"1243";"1504";"1178";"63360";"????";"酒店三层探测器";"宴会前厅G~J轴东烟感";"X";"0000";"-";"LOG";"01:005:070:001";"0";"255"
"1118";"2";"1179";"1601";"472";"0";"ZONE";"酒店三层探测器";"客梯前室烟感";"A";"0722";"-";"LOG";"01:005:071:000";"0";"255"
"1119";"2";"1242";"1504";"1179";"63516";"????";"酒店三层探测器";"客梯前室烟感";"X";"0000";"-";"LOG";"01:005:071:001";"0";"255"
"1120";"2";"1180";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会前厅D~E轴烟感";"A";"0723";"-";"LOG";"01:005:072:000";"0";"255"
"1121";"2";"1241";"1504";"1180";"63358";"????";"酒店三层探测器";"宴会前厅D~E轴烟感";"X";"0000";"-";"LOG";"01:005:072:001";"0";"255"
"1122";"2";"1182";"1601";"472";"0";"ZONE";"酒店三层探测器";"自动扶梯口烟感";"A";"0725";"-";"LOG";"01:005:073:000";"0";"255"
"1123";"2";"1239";"1504";"1182";"63517";"????";"酒店三层探测器";"自动扶梯口烟感";"X";"0000";"-";"LOG";"01:005:073:001";"0";"255"
"1124";"2";"1183";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会前厅东南烟感";"A";"0726";"-";"LOG";"01:005:074:000";"0";"255"
"1125";"2";"1238";"1504";"1183";"63353";"????";"酒店三层探测器";"宴会前厅东南烟感";"X";"0000";"-";"LOG";"01:005:074:001";"0";"255"
"1126";"2";"1184";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会前厅西南烟感";"A";"0727";"-";"LOG";"01:005:075:000";"0";"255"
"1127";"2";"1237";"1504";"1184";"63352";"????";"酒店三层探测器";"宴会前厅西南烟感";"X";"0000";"-";"LOG";"01:005:075:001";"0";"255"
"1128";"2";"1187";"1601";"472";"0";"ZONE";"酒店三层探测器";"商务中心北烟感";"A";"072A";"-";"LOG";"01:005:076:000";"0";"255"
"1129";"2";"1234";"1504";"1187";"63345";"????";"酒店三层探测器";"商务中心北烟感";"X";"0000";"-";"LOG";"01:005:076:001";"0";"255"
"1130";"2";"1181";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会前厅B~C轴烟感";"A";"0724";"-";"LOG";"01:005:077:000";"0";"255"
"1131";"2";"1240";"1504";"1181";"63357";"????";"酒店三层探测器";"宴会前厅B~C轴烟感";"X";"0000";"-";"LOG";"01:005:077:001";"0";"255"
"1132";"2";"1186";"1601";"472";"0";"ZONE";"酒店三层探测器";"扶梯南烟感";"A";"0729";"-";"LOG";"01:005:078:000";"0";"255"
"1133";"2";"1235";"1504";"1186";"63350";"????";"酒店三层探测器";"扶梯南烟感";"X";"0000";"-";"LOG";"01:005:078:001";"0";"255"
"1134";"2";"1446";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会大厅上空东南烟感";"A";"086E";"-";"LOG";"01:005:079:000";"0";"255"
"1135";"2";"1535";"1504";"1446";"60709";"????";"酒店三层探测器";"宴会大厅上空东南烟感";"X";"0000";"-";"LOG";"01:005:079:001";"0";"255"
"1136";"2";"1477";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会厅上空西偏南烟感";"A";"088D";"-";"LOG";"01:005:080:000";"0";"255"
"1137";"2";"1504";"1504";"1477";"60705";"????";"酒店三层探测器";"宴会厅上空西偏南烟感";"X";"0000";"-";"LOG";"01:005:080:001";"0";"255"
"1138";"2";"1444";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会大厅上空西南烟感";"A";"086C";"-";"LOG";"01:005:081:000";"0";"255"
"1139";"2";"1537";"1504";"1444";"60710";"????";"酒店三层探测器";"宴会大厅上空西南烟感";"X";"0000";"-";"LOG";"01:005:081:001";"0";"255"
"1140";"2";"1479";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会厅上空西北烟感";"A";"088F";"-";"LOG";"01:005:082:000";"0";"255"
"1141";"2";"1501";"1504";"1479";"60701";"????";"酒店三层探测器";"宴会厅上空西北烟感";"X";"0000";"-";"LOG";"01:005:082:001";"0";"255"
"1142";"2";"1473";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会大厅上空中偏南红外";"A";"0889";"-";"LOG";"01:005:083:000";"0";"255"
"1143";"2";"1508";"1504";"1473";"60446";"????";"酒店三层探测器";"宴会大厅上空中偏南红外";"X";"0000";"-";"LOG";"01:005:083:001";"0";"255"
"1144";"2";"1445";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会大厅上空中偏北红外";"A";"086D";"-";"LOG";"01:005:084:000";"0";"255"
"1145";"2";"1536";"1504";"1445";"60704";"????";"酒店三层探测器";"宴会大厅上空中偏北红外";"X";"0000";"-";"LOG";"01:005:084:001";"0";"255"
"1146";"2";"1472";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会大厅上空东偏南烟感";"A";"0888";"-";"LOG";"01:005:085:000";"0";"255"
"1147";"2";"1509";"1504";"1472";"60708";"????";"酒店三层探测器";"宴会大厅上空东偏南烟感";"X";"0000";"-";"LOG";"01:005:085:001";"0";"255"
"1148";"2";"1443";"1601";"472";"0";"ZONE";"酒店三层探测器";"宴会大厅上空南红外";"A";"086B";"-";"LOG";"01:005:086:000";"0";"255"
