"0";"2";"23-OCT-2017 09:38:32";"CC11LIST V0734";"C:\Users\Administrator\Desktop\泰州万达希尔顿酒店170217\DCR001C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"39";"2";"2183";"1504";"1965";"59350";"????";"酒店地下二层探测器";"核心筒北侧走道烟感1";"X";"0000";"-";"LOG";"01:001:016:001";"0";"255"
"40";"2";"1966";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"制服部烟感1";"A";"0B39";"-";"LOG";"01:001:017:000";"0";"255"
"41";"2";"2182";"1504";"1966";"59351";"????";"酒店地下二层探测器";"制服部烟感1";"X";"0000";"-";"LOG";"01:001:017:001";"0";"255"
"42";"2";"1967";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"制服部烟感2";"A";"0B3A";"-";"LOG";"01:001:018:000";"0";"255"
"43";"2";"2181";"1504";"1967";"59352";"????";"酒店地下二层探测器";"制服部烟感2";"X";"0000";"-";"LOG";"01:001:018:001";"0";"255"
"44";"2";"1968";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"管家部烟感1";"A";"0B3B";"-";"LOG";"01:001:019:000";"0";"255"
"45";"2";"2180";"1504";"1968";"59353";"????";"酒店地下二层探测器";"管家部烟感1";"X";"0000";"-";"LOG";"01:001:019:001";"0";"255"
"46";"2";"1969";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"管家部烟感2";"A";"0B3C";"-";"LOG";"01:001:020:000";"0";"255"
"47";"2";"2179";"1504";"1969";"59368";"????";"酒店地下二层探测器";"管家部烟感2";"X";"0000";"-";"LOG";"01:001:020:001";"0";"255"
"48";"2";"1970";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"安全储存室烟感";"A";"0B3D";"-";"LOG";"01:001:021:000";"0";"255"
"49";"2";"2178";"1504";"1970";"59369";"????";"酒店地下二层探测器";"安全储存室烟感";"X";"0000";"-";"LOG";"01:001:021:001";"0";"255"
"50";"2";"1971";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"行政管家室烟感";"A";"0B3E";"-";"LOG";"01:001:022:000";"0";"255"
"51";"2";"2177";"1504";"1971";"59370";"????";"酒店地下二层探测器";"行政管家室烟感";"X";"0000";"-";"LOG";"01:001:022:001";"0";"255"
"52";"2";"1972";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"洗衣房温感西5";"A";"0B3F";"-";"LOG";"01:001:023:000";"0";"255"
